,Shirt NumberShirt,Player NamePlayer,TeamTeam,Pointsattacks,ErrorsSE,Attemptsshots,Average per matchaverage-per-match,Success %Success %,TotalTA
0,14,Abdel-Aziz Nimir,NED,218,77,113,18.17,53.43,408
1,18,Čebulj Klemen,SLO,200,56,168,11.76,47.17,424
2,17,Mikhaylov Maxim,RUS,167,45,111,11.93,51.7,323
3,8,Ivovic Marko,SRB,158,35,111,10.53,51.97,304
4,1,Štern Tonček,SLO,154,61,97,10.27,49.36,312
5,11,Kazemi Saber,IRI,152,47,141,10.86,44.71,340
6,18,Michieletto Alessandro,ITA,152,27,125,10.13,50.0,304
7,17,Urnaut Tine,SLO,150,39,128,8.82,47.32,317
8,8,De Souza Wallace,BRA,150,39,69,8.82,58.14,258
9,14,Ishikawa Yuki,JPN,149,28,93,10.64,55.19,270
10,9,Leal Hidalgo Yoandy,BRA,139,39,94,9.27,51.1,272
11,17,Salehi Meisam,IRI,138,44,68,9.2,55.2,250
12,16,Luburic Drazen,SRB,133,46,81,8.87,51.15,260
13,18,Kliuka Egor,RUS,132,37,119,9.43,45.83,288
14,18,Souza Ricardo Lucarelli,BRA,131,38,79,8.73,52.82,248
15,20,Weber Linus,GER,128,49,107,9.85,45.07,284
16,4,Patry Jean,FRA,127,42,104,9.07,46.52,273
17,2,Kovacevic Uros,SRB,126,44,86,12.6,49.22,256
18,8,Defalco Torey,USA,126,38,106,8.4,46.67,270
19,2,Pereyra Federico,ARG,125,56,73,8.33,49.21,254
20,12,Tuinstra Bennie Junior,NED,118,46,132,8.43,39.86,296
21,28,Recine Francesco,ITA,117,43,122,7.8,41.49,282
22,15,Smith Luke,AUS,115,37,113,9.58,43.4,265
23,14,Atanasijevic Aleksandar,SRB,114,52,67,7.6,48.93,233
24,12,Boyer Stephen,FRA,113,37,75,7.53,50.22,225
25,9,Ngapeth Earvin,FRA,111,43,71,9.25,49.33,225
26,2,Perrin John Gordon,CAN,109,20,106,8.38,46.38,235
27,20,Nelli Gabriele,ITA,108,38,96,8.31,44.63,242
28,14,Asparuhov Asparuh,BUL,106,31,86,7.07,47.53,223
29,21,Takahashi Ran,JPN,106,35,72,7.07,49.77,213
30,7,Krsmanovic Petar,SRB,106,21,32,7.07,66.67,159
31,1,Shimizu Kunihiro,JPN,103,40,75,7.92,47.25,218
32,13,Vernon-Evans Sharone,CAN,103,37,74,6.87,48.13,214
33,2,Pajenk Alen,SLO,102,15,41,6.0,64.56,158
34,14,Correia De Souza Douglas,BRA,101,34,59,5.94,52.06,194
35,4,Ter Horst Thijs,NED,99,26,64,9.0,52.38,189
36,6,Kurek Bartosz,POL,97,27,67,8.82,50.79,191
37,7,Tillie Kevin,FRA,96,19,68,6.0,52.46,183
38,1,Graham Beau,AUS,96,60,94,6.4,38.4,250
39,4,Hoag Nicholas,CAN,95,45,81,6.33,42.99,221
40,7,Volkov Dmitry,RUS,93,28,64,6.64,50.27,185
41,17,Clevenot Trevor,FRA,92,30,68,6.57,48.42,190
42,23,Pinali Giulio,ITA,92,23,65,6.13,51.11,180
43,7,Conte Facundo,ARG,92,43,100,6.13,39.15,235
44,18,Podrascanin Marko,SRB,87,15,27,5.8,67.44,129
45,9,Leon Venero Wilfredo,POL,86,18,73,6.62,48.59,177
46,8,Loser Agustin,ARG,86,8,32,7.17,68.25,126
47,3,Schott Ruben,GER,85,30,94,5.67,40.67,209
48,10,Sclater Ryan Joseph,CAN,85,30,66,5.67,46.96,181
49,21,Souza Alan,BRA,85,18,49,5.31,55.92,152
50,1,Chinenyeze Barthélémy,FRA,84,15,53,4.94,55.26,152
51,21,Krick Tobias,GER,83,15,32,5.93,63.85,130
52,25,Parapunov Radoslav,BUL,82,54,62,5.47,41.41,198
53,2,Ebadipour Ghara H. Milad,IRI,82,38,84,6.31,40.2,204
54,5,Reichert Moritz,GER,78,29,91,5.2,39.39,198
55,18,Muagututia Garrett,USA,78,19,71,5.2,46.43,168
56,13,Kubiak Michal,POL,78,26,75,6.5,43.58,179
57,1,Anderson Matthew,USA,77,20,44,8.56,54.61,141
58,12,Lima Bruno,ARG,76,31,33,10.86,54.29,140
59,12,Mote Nehemiah,AUS,74,15,53,5.29,52.11,142
60,17,Takanashi Kenta,JPN,73,26,47,5.21,50.0,146
61,5,Ensing Kyle,USA,70,25,63,5.0,44.3,158
62,19,Sokolov Tsvetan,BUL,68,26,46,8.5,48.57,140
63,29,Bottolo Mattia,ITA,68,36,86,4.53,35.79,190
64,23,Saadat Bardia,IRI,68,28,39,4.86,50.37,135
65,4,Volvich Artem,RUS,67,11,21,4.47,67.68,99
66,20,Bieniek Mateusz,POL,67,8,43,5.15,56.78,118
67,1,Fromm Christian,GER,66,18,66,4.4,44.0,150
68,19,Otsuka Tatsunori,JPN,66,23,97,4.4,35.48,186
69,6,Mousavi Eraghi Seyed Mohammad,IRI,66,18,37,4.71,54.55,121
70,19,Možič Rok,SLO,66,16,34,3.88,56.9,116
71,12,Santos Isac,BRA,66,9,40,4.12,57.39,115
72,4,Kozamernik Jan,SLO,65,16,30,4.06,58.56,111
73,13,Hirsch Simon,GER,63,25,68,4.5,40.38,156
74,16,Semeniuk Kamil,POL,61,14,47,4.69,50.0,122
75,22,Esfandiar Amirhossein,IRI,60,21,45,4.29,47.62,126
76,8,O'Dea Trent,AUS,59,18,47,3.93,47.58,124
77,20,Kurkaev Ilyas,RUS,59,7,22,3.93,67.05,88
78,11,Solé Sebastian,ARG,59,6,39,5.36,56.73,104
79,14,Loeppky Eric,CAN,58,23,47,4.14,45.31,128
80,18,Andringa Robbert,NED,58,25,68,4.14,38.41,151
81,1,Karyagin Denis,BUL,57,28,57,3.8,40.14,142
82,15,Poletaev Victor,RUS,56,16,35,3.73,52.34,107
83,13,Patch Benjamin,USA,55,23,37,6.11,47.83,115
84,1,Podlesnykh Yaroslav,RUS,54,18,49,3.86,44.63,121
85,16,Bultor Daryl,FRA,52,15,25,3.06,56.52,92
86,14,Le Goff Nicolas,FRA,51,13,30,3.0,54.26,94
87,25,van Tilburg Stijn,NED,51,22,52,3.4,40.8,125
88,3,Martinez Franchi Jan,ARG,51,13,57,4.25,42.15,121
89,32,Azeez Oluwatobi Elliot,AUS,51,24,59,4.25,38.06,134
90,18,Krage Florian,GER,50,14,26,3.85,55.56,90
91,2,Vlasov Ilia,RUS,50,4,30,3.33,59.52,84
92,18,Ramos Martin,ARG,50,10,23,3.33,60.24,83
93,2,Onodera Taishi,JPN,49,8,42,3.77,49.49,99
94,17,Parkinson Michael,NED,49,5,16,3.77,70.0,70
95,11,Galassi Gianluca,ITA,49,3,17,6.12,71.01,69
96,26,Cortesia Lorenzo,ITA,49,6,32,3.5,56.32,87
97,4,Otake Issei,JPN,49,14,35,8.17,50.0,98
98,5,Kaczmarek Lukasz,POL,48,16,42,4.0,45.28,106
99,18,Rossard Thibault,FRA,47,15,34,4.7,48.96,96
100,3,Kolev Nikolay,BUL,47,6,28,3.13,58.02,81
101,6,Kaliberda Denys,GER,47,12,44,3.62,45.63,103
102,20,Szwarc Arthur,CAN,47,14,22,3.13,56.63,83
103,30,Mosca Leandro Ausibio,ITA,47,9,28,3.36,55.95,84
104,8,Plak Fabian,NED,46,10,23,3.54,58.23,79
105,4,Atanasov Martin,BUL,45,27,56,3.0,35.16,128
106,6,Yamauchi Akihiro,JPN,45,8,34,3.0,51.72,87
107,15,Kochanowski Jakub,POL,45,9,19,3.75,61.64,73
108,24,Cavuto Oreste,ITA,45,18,35,3.0,45.92,98
109,23,Resende Gualberto Flavio,BRA,45,14,32,2.65,49.45,91
110,6,Poglajen Cristian,ARG,45,15,51,4.09,40.54,111
