,Shirt NumberShirt,Player NamePlayer,TeamTeam,Blocksstuff-blocks,ErrorsSE,ReboundsREB,Average per matchaverage-per-match,Efficiency %Eff,TotalTA
0,18,Podrascanin Marko,SRB,44,66,51,2.93,-13.66,161
1,7,Krsmanovic Petar,SRB,32,63,52,2.13,-21.09,147
2,6,Mousavi Eraghi Seyed Mohammad,IRI,30,50,28,2.14,-18.52,108
3,14,Le Goff Nicolas,FRA,28,34,46,1.65,-5.56,108
4,21,Krick Tobias,GER,28,43,53,2.0,-12.1,124
5,4,Volvich Artem,RUS,28,46,38,1.87,-16.07,112
6,26,Cortesia Lorenzo,ITA,28,49,36,2.0,-18.58,113
7,4,Kozamernik Jan,SLO,27,56,53,1.69,-21.32,136
8,2,Vlasov Ilia,RUS,27,53,30,1.8,-23.64,110
9,1,Chinenyeze Barthélémy,FRA,23,67,45,1.35,-32.59,135
10,20,Bieniek Mateusz,POL,22,30,46,1.69,-8.16,98
11,20,Kurkaev Ilyas,RUS,21,34,29,1.4,-15.48,84
12,30,Mosca Leandro Ausibio,ITA,21,34,36,1.5,-14.29,91
13,12,Santos Isac,BRA,21,34,28,1.31,-15.66,83
14,1,Nowakowski Piotr,POL,21,34,29,1.75,-15.48,84
15,18,Krage Florian,GER,20,53,14,1.54,-37.93,87
16,2,Pajenk Alen,SLO,20,40,54,1.18,-17.54,114
17,20,Szwarc Arthur,CAN,20,34,32,1.33,-16.28,86
18,12,Van Berkel Lucas,CAN,20,38,24,1.43,-21.95,82
19,18,Čebulj Klemen,SLO,19,32,25,1.12,-17.11,76
20,18,Michieletto Alessandro,ITA,19,15,18,1.27,7.69,52
21,13,De Souza Mauricio Luiz,BRA,19,39,32,1.46,-22.22,90
22,12,Mote Nehemiah,AUS,18,42,38,1.29,-24.49,98
23,8,Defalco Torey,USA,18,26,13,1.2,-14.04,57
24,7,Conte Facundo,ARG,18,27,11,1.2,-16.07,56
25,18,Ramos Martin,ARG,18,42,17,1.2,-31.17,77
26,11,Brizard Antoine,FRA,17,19,21,1.06,-3.51,57
27,9,Gholami Masoud,IRI,17,32,23,1.13,-20.83,72
28,17,Mikhaylov Maxim,RUS,17,29,20,1.21,-18.18,66
29,15,Mojarad Aliasghar,IRI,16,21,10,1.45,-10.64,47
30,2,Kovacevic Uros,SRB,16,28,18,1.6,-19.35,62
31,17,Parkinson Michael,NED,16,37,22,1.23,-28.0,75
32,13,Vernon-Evans Sharone,CAN,16,26,13,1.07,-18.18,55
33,8,Loser Agustin,ARG,16,46,33,1.33,-31.58,95
34,17,Clevenot Trevor,FRA,15,21,13,1.07,-12.24,49
35,1,Štern Tonček,SLO,15,48,16,1.0,-41.77,79
