,Shirt NumberShirt,Player NamePlayer,TeamTeam,Digsgreat-save,ErrorsSE,ReceptionsRec,Average per matchaverage-per-match,Success %Success %,TotalTA
0,7,Balaso Fabio,ITA,161,48,25,10.73,68.8,234
1,13,Kovačič Jani,SLO,150,60,7,8.82,69.12,217
2,10,Zenger Julian,GER,141,58,23,9.4,63.51,222
3,2,Grebennikov Jenia,FRA,137,50,19,9.79,66.5,206
4,11,Perry Luke,AUS,129,39,14,8.6,70.88,182
5,17,Hoss Thales,BRA,103,30,9,6.06,72.54,142
6,22,Shoji Erik,USA,101,37,3,6.73,71.63,141
7,20,Yamamoto Tomohiro,JPN,100,36,9,6.67,68.97,145
8,21,Salehi Arman,IRI,97,39,6,6.47,68.31,142
9,19,Bann Blair Cameron,CAN,96,27,7,8.73,73.85,130
10,16,Ivanov Vladislav,BUL,93,39,8,6.64,66.43,140
11,27,Golubev Valentin,RUS,93,37,4,6.2,69.4,134
12,6,Dronkers Just,NED,90,36,5,6.0,68.7,131
13,16,Ropret Gregor,SLO,87,28,20,5.12,64.44,135
14,1,Rezende Bruno Mossa,BRA,82,22,17,4.82,67.77,121
15,6,Pekovic Nikola,SRB,79,38,8,5.27,63.2,125
16,18,Čebulj Klemen,SLO,79,31,13,4.65,64.23,123
17,8,Ivovic Marko,SRB,75,27,8,5.0,68.18,110
18,17,Zatorski Pawel,POL,74,25,11,4.35,67.27,110
19,17,Zimmermann Jan,GER,73,39,10,4.87,59.84,122
20,9,Jovovic Nikola,SRB,73,29,13,4.87,63.48,115
21,18,Michieletto Alessandro,ITA,72,18,6,4.8,75.0,96
22,18,Souza Ricardo Lucarelli,BRA,69,23,6,4.6,70.41,98
23,3,Schott Ruben,GER,68,34,9,4.53,61.26,111
24,7,Conte Facundo,ARG,68,25,6,4.53,68.69,99
25,17,Mikhaylov Maxim,RUS,64,12,5,4.57,79.01,81
26,2,Dosanjh Arshdeep,AUS,63,43,15,4.2,52.07,121
27,17,Urnaut Tine,SLO,62,27,7,3.65,64.58,96
28,18,Kliuka Egor,RUS,59,12,7,4.21,75.64,78
29,14,Ishikawa Yuki,JPN,57,21,7,4.07,67.06,85
30,14,Abdel-Aziz Nimir,NED,57,21,3,4.75,70.37,81
31,15,Sbertoli Riccardo,ITA,57,24,13,3.8,60.64,94
32,8,Defalco Torey,USA,56,21,8,3.73,65.88,85
33,18,Andringa Robbert,NED,56,9,4,4.0,81.16,69
34,9,Ngapeth Earvin,FRA,56,17,8,4.67,69.14,81
35,2,Perrin John Gordon,CAN,55,20,6,4.23,67.9,81
36,9,Danani Santiago,ARG,53,23,9,7.57,62.35,85
37,8,Blankenau Jay,CAN,52,22,8,3.71,63.41,82
38,1,Štern Tonček,SLO,51,14,4,3.4,73.91,69
39,24,Kobzar Igor,RUS,51,13,8,3.4,70.83,72
40,10,Wojtaszek Damian,POL,51,20,6,3.64,66.23,77
41,18,Muagututia Garrett,USA,50,20,4,3.33,67.57,74
42,13,Kubiak Michal,POL,50,24,6,4.17,62.5,80
43,7,Volkov Dmitry,RUS,49,15,5,3.5,71.01,69
44,8,De Souza Wallace,BRA,49,12,5,2.88,74.24,66
45,21,Takahashi Ran,JPN,48,22,5,3.2,64.0,75
46,28,Recine Francesco,ITA,48,22,10,3.2,60.0,80
47,12,Sekita Masahiro,JPN,47,21,5,3.36,64.38,73
48,12,Tuinstra Bennie Junior,NED,47,22,9,3.36,60.26,78
49,11,Drzyzga Fabian,POL,47,12,10,2.76,68.12,69
50,3,Marshall Steven,CAN,47,13,5,3.62,72.31,65
51,4,Patry Jean,FRA,46,14,7,3.29,68.66,67
52,24,Ogawa Tomohiro,JPN,46,20,6,3.07,63.89,72
53,17,Salehi Meisam,IRI,46,16,5,3.07,68.66,67
54,20,Nelli Gabriele,ITA,46,24,11,3.54,56.79,81
55,10,Sclater Ryan Joseph,CAN,45,11,5,3.0,73.77,61
56,4,Marouflakrani Mir Saeid,IRI,45,21,3,3.46,65.22,69
57,9,Leal Hidalgo Yoandy,BRA,44,13,1,2.93,75.86,58
58,11,Brizard Antoine,FRA,43,17,7,2.69,64.18,67
59,17,Clevenot Trevor,FRA,43,17,5,3.07,66.15,65
60,19,Massimino Franco,ARG,43,17,8,3.58,63.24,68
61,15,Smith Luke,AUS,42,24,3,3.5,60.87,69
62,13,Ottevanger Steven,NED,42,18,3,2.8,66.67,63
63,11,Christenson Micah,USA,42,20,8,3.5,60.0,70
64,2,Ebadipour Ghara H. Milad,IRI,41,23,3,3.15,61.19,67
65,11,Kazemi Saber,IRI,41,19,10,2.93,58.57,70
66,14,Asparuhov Asparuh,BUL,40,23,3,2.67,60.61,66
67,6,Toniutti Benjamin,FRA,39,16,4,2.6,66.1,59
68,12,Mote Nehemiah,AUS,39,14,4,2.79,68.42,57
69,2,Kovacevic Uros,SRB,39,22,6,3.9,58.21,67
70,7,Krsmanovic Petar,SRB,39,12,4,2.6,70.91,55
71,13,Vernon-Evans Sharone,CAN,39,20,4,2.6,61.9,63
72,6,Poglajen Cristian,ARG,39,8,3,3.55,78.0,50
73,7,Tillie Kevin,FRA,38,22,8,2.38,55.88,68
74,5,Ensing Kyle,USA,38,10,3,2.71,74.51,51
75,3,Martinez Franchi Jan,ARG,38,6,0,3.17,86.36,44
76,5,Reichert Moritz,GER,37,12,6,2.47,67.27,55
77,6,Kurek Bartosz,POL,37,12,7,3.36,66.07,56
78,15,De Cecco Luciano,ARG,37,17,7,2.47,60.66,61
79,2,Keemink Wessel,NED,37,14,4,3.7,67.27,55
80,4,Hoag Nicholas,CAN,36,16,9,2.4,59.02,61
81,17,Mendez Nicolas,ARG,35,18,6,2.33,59.32,59
82,6,Kaliberda Denys,GER,34,8,4,2.62,73.91,46
83,6,Gil Kreling Fernando,BRA,34,10,1,2.0,75.56,45
84,1,Chinenyeze Barthélémy,FRA,33,7,5,1.94,73.33,45
85,6,Baranov Evgeny,RUS,33,16,3,2.2,63.46,52
86,9,Leon Venero Wilfredo,POL,33,16,4,2.54,62.26,53
87,14,Atanasijevic Aleksandar,SRB,32,14,6,2.13,61.54,52
88,14,Correia De Souza Douglas,BRA,32,11,6,1.88,65.31,49
89,4,Kozamernik Jan,SLO,31,16,2,1.94,63.27,49
90,14,Loeppky Eric,CAN,31,10,4,2.21,68.89,45
91,12,Boyer Stephen,FRA,30,23,7,2.0,50.0,60
92,18,Podrascanin Marko,SRB,30,12,4,2.0,65.22,46
