,Shirt NumberShirt,Player NamePlayer,TeamTeam,SuccesfulSuccesful,ErrorsSE,AttempsAtt,Average per matchaverage-per-match,Success %Success %,TotalTA
0,8,Ivovic Marko,SRB,123,23,161,8.2,40.07,307
1,18,Čebulj Klemen,SLO,123,21,218,7.24,33.98,362
2,10,Zenger Julian,GER,121,20,190,8.07,36.56,331
3,3,Schott Ruben,GER,113,19,150,7.53,40.07,282
4,13,Kovačič Jani,SLO,109,18,163,6.41,37.59,290
5,2,Ebadipour Ghara H. Milad,IRI,107,13,130,8.23,42.8,250
6,7,Balaso Fabio,ITA,105,27,179,7.0,33.76,311
7,17,Hoss Thales,BRA,103,8,122,6.06,44.21,233
8,21,Salehi Arman,IRI,101,7,114,6.73,45.5,222
9,11,Perry Luke,AUS,99,11,114,6.6,44.2,224
10,2,Grebennikov Jenia,FRA,96,8,142,6.86,39.02,246
11,14,Ishikawa Yuki,JPN,95,7,117,6.79,43.38,219
12,6,Dronkers Just,NED,94,24,143,6.27,36.02,261
13,6,Pekovic Nikola,SRB,93,24,183,6.2,31.0,300
14,20,Yamamoto Tomohiro,JPN,89,12,89,5.93,46.84,190
15,15,Smith Luke,AUS,86,24,198,7.17,27.92,308
16,18,Kliuka Egor,RUS,85,22,175,6.07,30.14,282
17,18,Andringa Robbert,NED,83,5,108,5.93,42.35,196
18,14,Asparuhov Asparuh,BUL,80,29,163,5.33,29.41,272
19,22,Shoji Erik,USA,80,7,114,5.33,39.8,201
20,28,Recine Francesco,ITA,80,11,153,5.33,32.79,244
21,17,Urnaut Tine,SLO,79,17,184,4.65,28.21,280
22,12,Tuinstra Bennie Junior,NED,79,19,195,5.64,26.96,293
23,8,Defalco Torey,USA,79,8,163,5.27,31.6,250
24,19,Bann Blair Cameron,CAN,78,10,115,7.09,38.42,203
25,17,Salehi Meisam,IRI,77,12,168,5.13,29.96,257
26,18,Muagututia Garrett,USA,77,14,89,5.13,42.78,180
27,9,Ngapeth Earvin,FRA,73,13,148,6.08,31.2,234
28,21,Takahashi Ran,JPN,72,8,105,4.8,38.92,185
29,17,Clevenot Trevor,FRA,70,6,101,5.0,39.55,177
30,2,Kovacevic Uros,SRB,69,15,161,6.9,28.16,245
31,18,Michieletto Alessandro,ITA,67,15,185,4.47,25.09,267
32,7,Conte Facundo,ARG,67,20,174,4.47,25.67,261
33,27,Golubev Valentin,RUS,66,13,138,4.4,30.41,217
34,18,Souza Ricardo Lucarelli,BRA,65,8,154,4.33,28.63,227
35,4,Hoag Nicholas,CAN,63,10,130,4.2,31.03,203
36,16,Ivanov Vladislav,BUL,58,15,114,4.14,31.02,187
37,7,Tillie Kevin,FRA,55,10,102,3.44,32.93,167
38,2,Perrin John Gordon,CAN,54,15,117,4.15,29.03,186
39,13,Kubiak Michal,POL,54,13,116,4.5,29.51,183
40,5,Reichert Moritz,GER,51,9,93,3.4,33.33,153
41,7,Volkov Dmitry,RUS,51,10,104,3.64,30.91,165
