,Shirt NumberShirt,Player NamePlayer,TeamTeam,Attack PointsA Pts,Block PointsB Pts,Serve PointsS Pts,PointsPts
0,14,Abdel-Aziz Nimir,NED,218,10,36,264
1,18,Čebulj Klemen,SLO,200,19,15,234
2,17,Mikhaylov Maxim,RUS,167,17,17,201
3,8,Ivovic Marko,SRB,158,12,20,190
4,1,Štern Tonček,SLO,154,15,13,182
5,18,Michieletto Alessandro,ITA,152,19,10,181
6,11,Kazemi Saber,IRI,152,10,15,177
7,14,Ishikawa Yuki,JPN,149,11,9,169
8,8,De Souza Wallace,BRA,150,10,9,169
9,9,Leal Hidalgo Yoandy,BRA,139,11,12,162
10,17,Salehi Meisam,IRI,138,14,8,160
11,17,Urnaut Tine,SLO,150,7,3,160
12,18,Souza Ricardo Lucarelli,BRA,131,12,17,160
13,16,Luburic Drazen,SRB,133,7,19,159
14,20,Weber Linus,GER,128,14,12,154
15,18,Kliuka Egor,RUS,132,12,10,154
16,2,Kovacevic Uros,SRB,126,16,7,149
17,7,Krsmanovic Petar,SRB,106,32,10,148
18,8,Defalco Torey,USA,126,18,4,148
19,2,Pereyra Federico,ARG,125,12,10,147
20,4,Patry Jean,FRA,127,8,11,146
21,18,Podrascanin Marko,SRB,87,44,9,140
22,2,Pajenk Alen,SLO,102,20,18,140
23,12,Tuinstra Bennie Junior,NED,118,6,11,135
24,9,Ngapeth Earvin,FRA,111,5,18,134
25,28,Recine Francesco,ITA,117,13,3,133
26,15,Smith Luke,AUS,115,13,4,132
27,13,Vernon-Evans Sharone,CAN,103,16,10,129
28,14,Atanasijevic Aleksandar,SRB,114,6,8,128
29,2,Perrin John Gordon,CAN,109,12,7,128
30,12,Boyer Stephen,FRA,113,10,4,127
31,9,Leon Venero Wilfredo,POL,86,9,32,127
32,14,Asparuhov Asparuh,BUL,106,8,11,125
33,20,Nelli Gabriele,ITA,108,5,12,125
34,4,Hoag Nicholas,CAN,95,9,17,121
35,14,Correia De Souza Douglas,BRA,101,8,10,119
36,21,Takahashi Ran,JPN,106,5,7,118
37,21,Krick Tobias,GER,83,28,4,115
38,17,Clevenot Trevor,FRA,92,15,7,114
39,7,Volkov Dmitry,RUS,93,10,11,114
