,Shirt NumberShirt,Player NamePlayer,TeamTeam,Pointsserve-points,ErrorsSE,AttempsAtt,Average per matchaverage-per-match,Success %Success %,TotalTA
0,14,Abdel-Aziz Nimir,NED,36,55,94,3.0,19.46,185
1,9,Leon Venero Wilfredo,POL,32,36,69,2.46,23.36,137
2,8,Ivovic Marko,SRB,20,35,168,1.33,8.97,223
3,16,Luburic Drazen,SRB,19,44,62,1.27,15.2,125
4,3,Schott Ruben,GER,18,40,120,1.2,10.11,178
5,2,Pajenk Alen,SLO,18,48,191,1.06,7.0,257
6,9,Ngapeth Earvin,FRA,18,42,100,1.5,11.25,160
7,17,Mikhaylov Maxim,RUS,17,34,135,1.21,9.14,186
8,4,Hoag Nicholas,CAN,17,32,98,1.13,11.56,147
9,20,Bieniek Mateusz,POL,17,30,106,1.31,11.11,153
10,18,Souza Ricardo Lucarelli,BRA,17,35,126,1.13,9.55,178
11,11,Kazemi Saber,IRI,15,39,105,1.07,9.43,159
12,18,Čebulj Klemen,SLO,15,52,140,0.88,7.25,207
13,4,Atanasov Martin,BUL,13,17,52,0.87,15.85,82
14,1,Štern Tonček,SLO,13,46,126,0.87,7.03,185
15,16,Ropret Gregor,SLO,13,28,179,0.76,5.91,220
16,24,Kobzar Igor,RUS,13,28,120,0.87,8.07,161
17,11,Christenson Micah,USA,13,18,129,1.08,8.12,160
18,20,Weber Linus,GER,12,47,82,0.92,8.51,141
19,22,Esfandiar Amirhossein,IRI,12,27,72,0.86,10.81,111
20,11,Drzyzga Fabian,POL,12,27,112,0.71,7.95,151
21,20,Nelli Gabriele,ITA,12,37,77,0.92,9.52,126
22,9,Leal Hidalgo Yoandy,BRA,12,21,115,0.8,8.11,148
23,4,Patry Jean,FRA,11,27,108,0.79,7.53,146
24,14,Asparuhov Asparuh,BUL,11,30,88,0.73,8.53,129
25,12,Tuinstra Bennie Junior,NED,11,37,132,0.79,6.11,180
26,7,Volkov Dmitry,RUS,11,29,87,0.79,8.66,127
27,29,Bottolo Mattia,ITA,11,26,73,0.73,10.0,110
28,7,Krsmanovic Petar,SRB,10,31,198,0.67,4.18,239
29,18,Kliuka Egor,RUS,10,34,128,0.71,5.81,172
30,13,Vernon-Evans Sharone,CAN,10,38,66,0.67,8.77,114
31,20,Szwarc Arthur,CAN,10,25,81,0.67,8.62,116
32,18,Michieletto Alessandro,ITA,10,31,133,0.67,5.75,174
33,12,Santos Isac,BRA,10,36,104,0.62,6.67,150
34,14,Correia De Souza Douglas,BRA,10,20,85,0.59,8.7,115
35,2,Pereyra Federico,ARG,10,32,70,0.67,8.93,112
36,6,Stahl Mitchell,USA,10,32,58,0.77,10.0,100
37,14,Ishikawa Yuki,JPN,9,32,112,0.64,5.88,153
38,18,Podrascanin Marko,SRB,9,34,183,0.6,3.98,226
39,20,Smith David,USA,9,23,84,0.64,7.76,116
40,2,Muzaj Maciej,POL,9,14,40,0.82,14.29,63
41,23,Pinali Giulio,ITA,9,24,67,0.6,9.0,100
42,26,Cortesia Lorenzo,ITA,9,12,157,0.64,5.06,178
43,8,De Souza Wallace,BRA,9,27,127,0.53,5.52,163
44,18,Andringa Robbert,NED,9,38,69,0.64,7.76,116
45,8,Loser Agustin,ARG,9,35,109,0.75,5.88,153
46,16,Bultor Daryl,FRA,8,27,69,0.47,7.69,104
47,18,Rossard Thibault,FRA,8,21,62,0.8,8.79,91
48,9,Seganov Georgi,BUL,8,19,109,0.53,5.88,136
49,2,Dosanjh Arshdeep,AUS,8,30,120,0.53,5.06,158
50,17,Salehi Meisam,IRI,8,39,125,0.53,4.65,172
51,14,Atanasijevic Aleksandar,SRB,8,29,84,0.53,6.61,121
52,18,Muagututia Garrett,USA,8,21,97,0.53,6.35,126
53,21,Fornal Tomasz,POL,8,9,31,0.67,16.67,48
54,22,Bednorz Bartosz,POL,8,8,24,0.89,20.0,40
55,17,Clevenot Trevor,FRA,7,16,105,0.5,5.47,128
56,19,Sokolov Tsvetan,BUL,7,16,33,0.88,12.5,56
57,17,Zimmermann Jan,GER,7,28,146,0.47,3.87,181
58,21,Takahashi Ran,JPN,7,29,105,0.47,4.96,141
59,6,Mousavi Eraghi Seyed Mohammad,IRI,7,35,82,0.5,5.65,124
60,2,Kovacevic Uros,SRB,7,31,103,0.7,4.96,141
61,4,Kozamernik Jan,SLO,7,23,167,0.44,3.55,197
62,22,Wiltenburg Twan,NED,7,13,97,0.5,5.98,117
63,25,van Tilburg Stijn,NED,7,11,53,0.47,9.86,71
64,1,Podlesnykh Yaroslav,RUS,7,20,76,0.5,6.8,103
65,2,Perrin John Gordon,CAN,7,25,118,0.54,4.67,150
66,11,Brizard Antoine,FRA,6,34,109,0.38,4.03,149
67,2,Ebadipour Ghara H. Milad,IRI,6,32,103,0.46,4.26,141
68,10,Bogdan Denis,RUS,6,22,61,0.4,6.74,89
69,11,Pankov Pavel,RUS,6,16,59,0.4,7.41,81
70,12,Holt Maxwell,USA,6,27,71,0.5,5.77,104
71,10,Sclater Ryan Joseph,CAN,6,20,71,0.4,6.19,97
72,7,Tillie Kevin,FRA,5,20,100,0.31,4.0,125
73,11,Grozdanov Aleks,BUL,5,9,22,1.67,13.89,36
74,7,Sossenheimer David,GER,5,20,36,0.42,8.2,61
75,9,Gholami Masoud,IRI,5,10,116,0.33,3.82,131
76,4,Volvich Artem,RUS,5,13,139,0.33,3.18,157
