,Shirt NumberShirt,Player NamePlayer,TeamTeam,SuccessfulSuccessful,ErrorsSE,AttemptsAttempts,Average per matchaverage-per-match,Success %Success %,TotalTA
0,16,Ropret Gregor,SLO,407,6,803,23.94,33.47,1216
1,9,Jovovic Nikola,SRB,315,5,663,21.0,32.04,983
2,17,Zimmermann Jan,GER,311,10,842,20.73,26.74,1163
3,15,De Cecco Luciano,ARG,286,5,564,19.07,33.45,855
4,1,Rezende Bruno Mossa,BRA,282,3,624,16.59,31.02,909
5,11,Christenson Micah,USA,271,2,488,22.58,35.61,761
6,24,Kobzar Igor,RUS,249,8,503,16.6,32.76,760
7,11,Brizard Antoine,FRA,239,3,559,14.94,29.84,801
8,11,Drzyzga Fabian,POL,236,1,556,13.88,29.76,793
9,15,Sbertoli Riccardo,ITA,228,7,621,15.2,26.64,856
10,2,Dosanjh Arshdeep,AUS,225,12,786,15.0,21.99,1023
11,9,Seganov Georgi,BUL,192,6,592,12.8,24.3,790
12,4,Marouflakrani Mir Saeid,IRI,192,11,513,14.77,26.82,716
13,19,de Weijer Freek,NED,186,5,424,16.91,30.24,615
14,6,Toniutti Benjamin,FRA,179,3,428,11.93,29.34,610
15,12,Sekita Masahiro,JPN,166,3,476,11.86,25.74,645
16,11,Pankov Pavel,RUS,154,3,298,10.27,33.85,455
17,8,Blankenau Jay,CAN,153,3,418,10.93,26.66,574
18,3,Fujii Naonobu,JPN,150,2,404,16.67,26.98,556
19,12,Lomacz Grzegorz,POL,137,2,208,8.06,39.48,347
20,2,Keemink Wessel,NED,119,0,402,11.9,22.84,521
21,6,Gil Kreling Fernando,BRA,112,2,292,6.59,27.59,406
22,1,Sanders Tyler,CAN,111,6,286,13.88,27.54,403
23,21,Spirito Luca,ITA,104,4,369,6.93,21.8,477
24,7,Shoji Kawika,USA,98,1,224,7.54,30.34,323
25,21,Todorovic Vuk,SRB,98,3,222,7.54,30.34,323
26,18,Vadi Mohammad Taher,IRI,88,2,215,9.78,28.85,305
27,5,Uriarte Nicolas,ARG,78,1,157,7.8,33.05,236
28,1,Sanchez Matias,ARG,72,0,80,10.29,47.37,152
